
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.8500000000000001, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.1015, SAD: 0.5168, Class1_sad: 0.2406, Class2_sad: 0.1836, Class3_sad: 1.1262, RMSE: 0.2189, Class1_mse: 0.2890, Class2_mse: 0.1547, Class3_mse: 0.1905, TIME:2023-05-10 12:21:38
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.30000000000000004, para_sv_a: 0.01, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0757, SAD: 0.5975, Class1_sad: 0.2243, Class2_sad: 0.1921, Class3_sad: 1.3762, RMSE: 0.3351, Class1_mse: 0.3106, Class2_mse: 0.2817, Class3_mse: 0.4012, TIME:2023-05-10 12:22:13
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.35000000000000003, para_sv_a: 0.006, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0854, SAD: 0.4000, Class1_sad: 0.2408, Class2_sad: 0.2125, Class3_sad: 0.7467, RMSE: 0.1357, Class1_mse: 0.1416, Class2_mse: 0.1166, Class3_mse: 0.1470, TIME:2023-05-10 12:22:49
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.0, para_sv_a: 0.004, para_orth: 0.003, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0837, SAD: 0.4981, Class1_sad: 0.2316, Class2_sad: 0.1981, Class3_sad: 1.0646, RMSE: 0.1603, Class1_mse: 0.1926, Class2_mse: 0.0864, Class3_mse: 0.1804, TIME:2023-05-10 12:23:24
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 900.0, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.1007, SAD: 0.5446, Class1_sad: 0.2285, Class2_sad: 0.1957, Class3_sad: 1.2097, RMSE: 0.2401, Class1_mse: 0.3105, Class2_mse: 0.1111, Class3_mse: 0.2532, TIME:2023-05-10 12:23:59
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 700.0, para_sv_a: 0.004, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0936, SAD: 0.5293, Class1_sad: 0.2329, Class2_sad: 0.2027, Class3_sad: 1.1524, RMSE: 0.1138, Class1_mse: 0.1387, Class2_mse: 0.0999, Class3_mse: 0.0981, TIME:2023-05-10 12:24:34
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.15000000000000002, para_sv_a: 0.01, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0888, SAD: 0.4528, Class1_sad: 0.2583, Class2_sad: 0.1938, Class3_sad: 0.9063, RMSE: 0.3411, Class1_mse: 0.4089, Class2_mse: 0.1282, Class3_mse: 0.4067, TIME:2023-05-10 12:25:10
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.05, para_sv_a: 0.006, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.1010, SAD: 0.5942, Class1_sad: 0.2355, Class2_sad: 0.1803, Class3_sad: 1.3668, RMSE: 0.2904, Class1_mse: 0.2575, Class2_mse: 0.2665, Class3_mse: 0.3401, TIME:2023-05-10 12:25:45
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.6000000000000001, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0853, SAD: 0.5654, Class1_sad: 0.2693, Class2_sad: 0.1690, Class3_sad: 1.2579, RMSE: 0.3303, Class1_mse: 0.3993, Class2_mse: 0.0897, Class3_mse: 0.3998, TIME:2023-05-10 12:26:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 900.0, para_sv_a: 0.01, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0920, SAD: 0.5294, Class1_sad: 0.2397, Class2_sad: 0.1889, Class3_sad: 1.1595, RMSE: 0.2868, Class1_mse: 0.3543, Class2_mse: 0.1081, Class3_mse: 0.3309, TIME:2023-05-10 12:26:55
