
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 100, WD: 4e-05, RE: 0.0636, SAD: 0.4348, Class1_sad: 0.2562, Class2_sad: 0.1872, Class3_sad: 0.8609, RMSE: 0.3407, Class1_mse: 0.4089, Class2_mse: 0.1011, Class3_mse: 0.4133, TIME:2023-05-08 17:07:09
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.01, para_sv_a: 0.006, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 0.6000000000000001, para_sv_L: 90, WD: 4e-05, RE: 0.0935, SAD: 0.4422, Class1_sad: 0.2252, Class2_sad: 0.1878, Class3_sad: 0.9136, RMSE: 0.1365, Class1_mse: 0.1243, Class2_mse: 0.1304, Class3_mse: 0.1531, TIME:2023-05-08 17:07:44
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.008, para_sv_a: 0.004, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.4, para_sv_L: 100, WD: 4e-05, RE: 0.1209, SAD: 0.5971, Class1_sad: 0.2356, Class2_sad: 0.1892, Class3_sad: 1.3667, RMSE: 0.0909, Class1_mse: 0.0841, Class2_mse: 0.1106, Class3_mse: 0.0739, TIME:2023-05-08 17:08:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.008, para_sv_a: 0.006, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 90, WD: 4e-05, RE: 0.0845, SAD: 0.5398, Class1_sad: 0.2432, Class2_sad: 0.1866, Class3_sad: 1.1895, RMSE: 0.2969, Class1_mse: 0.3534, Class2_mse: 0.1139, Class3_mse: 0.3558, TIME:2023-05-08 17:08:57
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.01, para_sv_a: 0.006, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.2, para_sv_L: 90, WD: 4e-05, RE: 0.0841, SAD: 0.5097, Class1_sad: 0.2527, Class2_sad: 0.1969, Class3_sad: 1.0794, RMSE: 0.3342, Class1_mse: 0.4085, Class2_mse: 0.0847, Class3_mse: 0.4012, TIME:2023-05-08 17:09:33
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.008, para_sv_a: 0.004, para_orth: 0.0036666666666666666, para_reg: 0.0035, para_minvol: 1.0, para_sv_L: 100, WD: 4e-05, RE: 0.1091, SAD: 0.5775, Class1_sad: 0.2258, Class2_sad: 0.1966, Class3_sad: 1.3102, RMSE: 0.2936, Class1_mse: 0.2731, Class2_mse: 0.2504, Class3_mse: 0.3484, TIME:2023-05-08 17:10:09
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.0036666666666666666, para_reg: 0.002, para_minvol: 0.8, para_sv_L: 80, WD: 4e-05, RE: 0.1139, SAD: 0.4799, Class1_sad: 0.2594, Class2_sad: 0.1741, Class3_sad: 1.0062, RMSE: 0.2982, Class1_mse: 0.3819, Class2_mse: 0.1559, Class3_mse: 0.3109, TIME:2023-05-08 17:10:45
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.009, para_reg: 0.002, para_minvol: 0.8, para_sv_L: 100, WD: 4e-05, RE: 0.1048, SAD: 0.5552, Class1_sad: 0.2361, Class2_sad: 0.2013, Class3_sad: 1.2281, RMSE: 0.3324, Class1_mse: 0.3155, Class2_mse: 0.2868, Class3_mse: 0.3870, TIME:2023-05-08 17:11:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.001, para_reg: 0.008, para_minvol: 1.0, para_sv_L: 90, WD: 4e-05, RE: 0.0637, SAD: 0.3913, Class1_sad: 0.2392, Class2_sad: 0.1774, Class3_sad: 0.7573, RMSE: 0.1765, Class1_mse: 0.1825, Class2_mse: 0.1565, Class3_mse: 0.1889, TIME:2023-05-08 17:11:55
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.002, para_minvol: 0.4, para_sv_L: 80, WD: 4e-05, RE: 0.0922, SAD: 0.4824, Class1_sad: 0.2282, Class2_sad: 0.2065, Class3_sad: 1.0123, RMSE: 0.1177, Class1_mse: 0.1426, Class2_mse: 0.1277, Class3_mse: 0.0699, TIME:2023-05-08 17:12:31
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.01, para_sv_a: 0.008, para_orth: 0.006333333333333333, para_reg: 0.005, para_minvol: 1.0, para_sv_L: 100, WD: 4e-05, RE: 0.0986, SAD: 0.5967, Class1_sad: 0.2316, Class2_sad: 0.1902, Class3_sad: 1.3682, RMSE: 0.3125, Class1_mse: 0.3456, Class2_mse: 0.2091, Class3_mse: 0.3602, TIME:2023-05-08 17:13:07
