LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0403, SAD: 0.4033, RMSE: 0.3534, Class1_mse: 0.4064, Class2_mse: 0.1340, Class3_mse: 0.4378, TIME:2023-05-07 20:10:52
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0470, SAD: 0.3938, RMSE: 0.3780, Class1_mse: 0.4301, Class2_mse: 0.1591, Class3_mse: 0.4674, TIME:2023-05-07 20:11:51
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0286, SAD: 0.3579, RMSE: 0.2487, Class1_mse: 0.3068, Class2_mse: 0.1805, Class3_mse: 0.2427, TIME:2023-05-07 20:12:49
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0433, SAD: 0.6182, RMSE: 0.3828, Class1_mse: 0.4293, Class2_mse: 0.1749, Class3_mse: 0.4740, TIME:2023-05-07 20:13:48
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.001, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0577, SAD: 0.6209, RMSE: 0.3780, Class1_mse: 0.3527, Class2_mse: 0.3022, Class3_mse: 0.4615, TIME:2023-05-07 20:14:48
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0515, SAD: 0.6102, RMSE: 0.4214, Class1_mse: 0.3845, Class2_mse: 0.3491, Class3_mse: 0.5130, TIME:2023-05-07 20:15:46
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0621, SAD: 0.5686, RMSE: 0.4261, Class1_mse: 0.4280, Class2_mse: 0.2853, Class3_mse: 0.5292, TIME:2023-05-07 20:16:45
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0331, SAD: 0.4605, RMSE: 0.1934, Class1_mse: 0.2341, Class2_mse: 0.1539, Class3_mse: 0.1837, TIME:2023-05-07 20:17:44
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.008, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0566, SAD: 0.5774, RMSE: 0.3801, Class1_mse: 0.3476, Class2_mse: 0.3226, Class3_mse: 0.4566, TIME:2023-05-07 20:18:43
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.008, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0459, SAD: 0.5514, RMSE: 0.1428, Class1_mse: 0.1696, Class2_mse: 0.1061, Class3_mse: 0.1454, TIME:2023-05-07 20:19:41
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0588, SAD: 0.6193, RMSE: 0.1980, Class1_mse: 0.2683, Class2_mse: 0.1415, Class3_mse: 0.1600, TIME:2023-05-07 20:20:40
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0532, SAD: 0.4920, RMSE: 0.2675, Class1_mse: 0.3282, Class2_mse: 0.1483, Class3_mse: 0.2913, TIME:2023-05-07 20:21:39
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0202, SAD: 0.4674, RMSE: 0.1596, Class1_mse: 0.2003, Class2_mse: 0.1487, Class3_mse: 0.1189, TIME:2023-05-07 20:22:38
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0480, SAD: 0.4003, RMSE: 0.1418, Class1_mse: 0.1158, Class2_mse: 0.1359, Class3_mse: 0.1686, TIME:2023-05-07 20:23:37
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0399, SAD: 0.4131, RMSE: 0.2175, Class1_mse: 0.2673, Class2_mse: 0.1576, Class3_mse: 0.2137, TIME:2023-05-07 20:24:36
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0351, SAD: 0.3895, RMSE: 0.3671, Class1_mse: 0.4191, Class2_mse: 0.1379, Class3_mse: 0.4579, TIME:2023-05-07 20:25:35
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0355, SAD: 0.4987, RMSE: 0.1714, Class1_mse: 0.2278, Class2_mse: 0.1309, Class3_mse: 0.1382, TIME:2023-05-07 20:26:33
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0413, SAD: 0.5601, RMSE: 0.4007, Class1_mse: 0.4288, Class2_mse: 0.2355, Class3_mse: 0.4922, TIME:2023-05-07 20:27:32
