
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.004, para_sv_a: 0.005, para_orth: 0.01, para_reg: 0.001, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1260, SAD: 0.4553, Class1_sad: 0.1496, Class2_sad: 0.2514, Class3_sad: 0.1627, RMSE: 0.3588, Class1_mse: 0.5015, Class2_mse: 0.1738, Class3_mse: 0.1494, TIME:2023-06-15 10:47:33
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.005, para_orth: 0.006, para_reg: 0.008, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1055, SAD: 0.4688, Class1_sad: 0.1496, Class2_sad: 0.2290, Class3_sad: 0.1659, RMSE: 0.3563, Class1_mse: 0.4784, Class2_mse: 0.1741, Class3_mse: 0.1574, TIME:2023-06-15 10:49:11
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.003, para_sv_a: 0.01, para_orth: 0.01, para_reg: 0.009000000000000001, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1331, SAD: 0.4679, Class1_sad: 0.1496, Class2_sad: 0.2383, Class3_sad: 0.1602, RMSE: 0.3638, Class1_mse: 0.4839, Class2_mse: 0.1911, Class3_mse: 0.1561, TIME:2023-06-15 10:50:48
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.008, para_sv_a: 0.008, para_orth: 0.005, para_reg: 0.009000000000000001, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1254, SAD: 0.4905, Class1_sad: 0.1496, Class2_sad: 0.2332, Class3_sad: 0.1718, RMSE: 0.3289, Class1_mse: 0.4567, Class2_mse: 0.1660, Class3_mse: 0.1364, TIME:2023-06-15 10:52:26
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.004, para_orth: 0.004, para_reg: 0.01, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1287, SAD: 0.3577, Class1_sad: 0.1496, Class2_sad: 0.2369, Class3_sad: 0.1832, RMSE: 0.2011, Class1_mse: 0.2415, Class2_mse: 0.1824, Class3_mse: 0.1399, TIME:2023-06-15 10:54:02
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.005, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1252, SAD: 0.4684, Class1_sad: 0.1496, Class2_sad: 0.2392, Class3_sad: 0.1697, RMSE: 0.3492, Class1_mse: 0.4937, Class2_mse: 0.1494, Class3_mse: 0.1193, TIME:2023-06-15 10:55:38
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.001, para_reg: 0.001, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1493, SAD: 0.4767, Class1_sad: 0.1496, Class2_sad: 0.2370, Class3_sad: 0.1779, RMSE: 0.3569, Class1_mse: 0.4930, Class2_mse: 0.1837, Class3_mse: 0.1501, TIME:2023-06-15 10:57:15
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.01, para_reg: 0.003, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1126, SAD: 0.4591, Class1_sad: 0.1496, Class2_sad: 0.2369, Class3_sad: 0.1592, RMSE: 0.3493, Class1_mse: 0.4873, Class2_mse: 0.1529, Class3_mse: 0.1263, TIME:2023-06-15 10:58:53
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.004, para_reg: 0.004, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1127, SAD: 0.4591, Class1_sad: 0.5546, Class2_sad: 0.2350, Class3_sad: 0.1859, RMSE: 0.2414, Class1_mse: 0.3223, Class2_mse: 0.1732, Class3_mse: 0.1247, TIME:2023-06-15 11:00:31
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.009000000000000001, para_sv_a: 0.006, para_orth: 0.002, para_reg: 0.004, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.0914, SAD: 0.4768, Class1_sad: 0.1496, Class2_sad: 0.2322, Class3_sad: 0.1775, RMSE: 0.3556, Class1_mse: 0.4746, Class2_mse: 0.1901, Class3_mse: 0.1447, TIME:2023-06-15 11:02:08
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.008, para_sv_a: 0.001, para_orth: 0.01, para_reg: 0.007, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1144, SAD: 0.4704, Class1_sad: 0.1496, Class2_sad: 0.2301, Class3_sad: 0.1885, RMSE: 0.3806, Class1_mse: 0.4748, Class2_mse: 0.2374, Class3_mse: 0.1538, TIME:2023-06-15 11:03:47
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.002, para_orth: 0.003, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1236, SAD: 0.3571, Class1_sad: 0.1496, Class2_sad: 0.2378, Class3_sad: 0.1798, RMSE: 0.1714, Class1_mse: 0.1839, Class2_mse: 0.1862, Class3_mse: 0.1368, TIME:2023-06-15 11:05:24
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.005, para_sv_a: 0.01, para_orth: 0.01, para_reg: 0.007, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1077, SAD: 0.7439, Class1_sad: 1.2252, Class2_sad: 0.2398, Class3_sad: 0.1612, RMSE: 0.3457, Class1_mse: 0.4828, Class2_mse: 0.1527, Class3_mse: 0.1386, TIME:2023-06-15 11:07:00
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.009000000000000001, para_sv_a: 0.01, para_orth: 0.01, para_reg: 0.008, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1159, SAD: 0.4814, Class1_sad: 0.1496, Class2_sad: 0.2310, Class3_sad: 0.1739, RMSE: 0.3381, Class1_mse: 0.4553, Class2_mse: 0.1794, Class3_mse: 0.1487, TIME:2023-06-15 11:08:39
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.003, para_sv_a: 0.009000000000000001, para_orth: 0.004, para_reg: 0.01, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1145, SAD: 0.7717, Class1_sad: 1.3720, Class2_sad: 0.2404, Class3_sad: 0.1660, RMSE: 0.3540, Class1_mse: 0.4935, Class2_mse: 0.1665, Class3_mse: 0.1454, TIME:2023-06-15 11:10:18
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.006, para_orth: 0.004, para_reg: 0.003, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1017, SAD: 0.4629, Class1_sad: 0.1496, Class2_sad: 0.2325, Class3_sad: 0.1642, RMSE: 0.3556, Class1_mse: 0.4972, Class2_mse: 0.1673, Class3_mse: 0.1496, TIME:2023-06-15 11:11:55
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.006, para_orth: 0.002, para_reg: 0.004, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1130, SAD: 0.3556, Class1_sad: 0.1496, Class2_sad: 0.2436, Class3_sad: 0.1680, RMSE: 0.1948, Class1_mse: 0.2279, Class2_mse: 0.1907, Class3_mse: 0.1390, TIME:2023-06-15 11:13:33
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.004, para_orth: 0.009000000000000001, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1252, SAD: 0.4709, Class1_sad: 0.1496, Class2_sad: 0.2373, Class3_sad: 0.1592, RMSE: 0.3581, Class1_mse: 0.4775, Class2_mse: 0.1809, Class3_mse: 0.1498, TIME:2023-06-15 11:15:09
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.01, para_orth: 0.002, para_reg: 0.006, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1040, SAD: 0.4694, Class1_sad: 0.1496, Class2_sad: 0.2385, Class3_sad: 0.1504, RMSE: 0.3564, Class1_mse: 0.4954, Class2_mse: 0.1796, Class3_mse: 0.1405, TIME:2023-06-15 11:16:46
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.003, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.006, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1046, SAD: 0.4840, Class1_sad: 0.1496, Class2_sad: 0.2304, Class3_sad: 0.1686, RMSE: 0.3432, Class1_mse: 0.4638, Class2_mse: 0.1879, Class3_mse: 0.1421, TIME:2023-06-15 11:18:23
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.008, para_orth: 0.004, para_reg: 0.01, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1209, SAD: 0.4957, Class1_sad: 0.1496, Class2_sad: 0.2398, Class3_sad: 0.1799, RMSE: 0.3439, Class1_mse: 0.4776, Class2_mse: 0.1812, Class3_mse: 0.1440, TIME:2023-06-15 11:20:00
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.005, para_orth: 0.01, para_reg: 0.009000000000000001, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1119, SAD: 0.4759, Class1_sad: 0.1496, Class2_sad: 0.2284, Class3_sad: 0.1710, RMSE: 0.3513, Class1_mse: 0.4859, Class2_mse: 0.1767, Class3_mse: 0.1470, TIME:2023-06-15 11:21:37
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.008, para_sv_a: 0.003, para_orth: 0.005, para_reg: 0.007, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1124, SAD: 0.4814, Class1_sad: 0.1496, Class2_sad: 0.2374, Class3_sad: 0.1899, RMSE: 0.3441, Class1_mse: 0.4818, Class2_mse: 0.1614, Class3_mse: 0.1192, TIME:2023-06-15 11:23:14
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.004, para_sv_a: 0.001, para_orth: 0.006, para_reg: 0.006, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.0969, SAD: 0.6870, Class1_sad: 1.4958, Class2_sad: 0.2370, Class3_sad: 0.1543, RMSE: 0.2349, Class1_mse: 0.3041, Class2_mse: 0.1875, Class3_mse: 0.1331, TIME:2023-06-15 11:24:51
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.005, para_sv_a: 0.006, para_orth: 0.004, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1169, SAD: 0.7820, Class1_sad: 1.4431, Class2_sad: 0.2372, Class3_sad: 0.1560, RMSE: 0.3651, Class1_mse: 0.4876, Class2_mse: 0.1815, Class3_mse: 0.1374, TIME:2023-06-15 11:26:29
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.004, para_sv_a: 0.001, para_orth: 0.003, para_reg: 0.007, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1074, SAD: 0.4677, Class1_sad: 0.1496, Class2_sad: 0.2305, Class3_sad: 0.1649, RMSE: 0.3564, Class1_mse: 0.4956, Class2_mse: 0.1786, Class3_mse: 0.1458, TIME:2023-06-15 11:28:07
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.009000000000000001, para_sv_a: 0.009000000000000001, para_orth: 0.008, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1253, SAD: 0.4709, Class1_sad: 0.1496, Class2_sad: 0.2363, Class3_sad: 0.1757, RMSE: 0.3537, Class1_mse: 0.4770, Class2_mse: 0.1766, Class3_mse: 0.1341, TIME:2023-06-15 11:29:45
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.003, para_sv_a: 0.009000000000000001, para_orth: 0.007, para_reg: 0.008, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1161, SAD: 0.4518, Class1_sad: 0.1496, Class2_sad: 0.2392, Class3_sad: 0.1592, RMSE: 0.3521, Class1_mse: 0.4944, Class2_mse: 0.1546, Class3_mse: 0.1378, TIME:2023-06-15 11:31:25
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.008, para_reg: 0.004, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1201, SAD: 0.4661, Class1_sad: 0.1496, Class2_sad: 0.2401, Class3_sad: 0.1686, RMSE: 0.3532, Class1_mse: 0.4914, Class2_mse: 0.1609, Class3_mse: 0.1368, TIME:2023-06-15 11:33:04
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.001, para_orth: 0.003, para_reg: 0.005, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1538, SAD: 0.3586, Class1_sad: 0.1496, Class2_sad: 0.2490, Class3_sad: 0.1746, RMSE: 0.1567, Class1_mse: 0.1732, Class2_mse: 0.1683, Class3_mse: 0.1248, TIME:2023-06-15 11:34:41
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.01, para_reg: 0.009000000000000001, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1101, SAD: 0.3588, Class1_sad: 0.1496, Class2_sad: 0.2381, Class3_sad: 0.1865, RMSE: 0.2468, Class1_mse: 0.3261, Class2_mse: 0.1840, Class3_mse: 0.1283, TIME:2023-06-15 11:36:21
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.003, para_orth: 0.009000000000000001, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1145, SAD: 0.4573, Class1_sad: 0.1496, Class2_sad: 0.2341, Class3_sad: 0.1623, RMSE: 0.3676, Class1_mse: 0.4896, Class2_mse: 0.1943, Class3_mse: 0.1450, TIME:2023-06-15 11:37:58
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.005, para_orth: 0.006, para_reg: 0.005, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1219, SAD: 0.4603, Class1_sad: 0.1496, Class2_sad: 0.2382, Class3_sad: 0.1607, RMSE: 0.3561, Class1_mse: 0.4992, Class2_mse: 0.1706, Class3_mse: 0.1445, TIME:2023-06-15 11:39:33
